"","frequency","pct"
"",2859,0.90906200317965
"6910 Rent Control/Eviction Control [EPA]",53,0.016852146263911
"6305 Pvt LL/T Habitability",44,0.0139904610492846
"6790 FC Other issues",34,0.0108108108108108
"6990 Other housing",31,0.00985691573926868
"6610 Discrim Disability failure to accommodate",14,0.00445151033386328
"6970 Hotel Motel",13,0.0041335453100159
"6307 Pvt LL/T LL Violations/Harassment",12,0.00381558028616852
"6314 Pvt LL/T UD Post Judgmt NTV Stay App",12,0.00381558028616852
"6306 Pvt LL/T Change in Terms of Tenancy",10,0.00317965023847377
"6308 Pvt LL/T Security Deposit",9,0.00286168521462639
"6302 Pvt LL/T Term Notice No cause",8,0.00254372019077901
"6315 Pvt LL/T UD Post Judgmt Mx to Set Aside",6,0.00190779014308426
"6640 Discrim Familial Status Children",5,0.00158982511923688
"6109 Sec. 8 Other",4,0.00127186009538951
"6600 Discrimination Disability refusal to rent",4,0.00127186009538951
"6620 Discrim Race ethnicity national origin",4,0.00127186009538951
"6989 Facing Eviction (legacy code)",4,0.00127186009538951
"6105 Sec. 8 UD Business decision",3,0.00095389507154213
"6690 Discrim Other protected class or issues",2,0.000635930047694754
"6100 Sec. 8 Voucher Term by HA",1,0.000317965023847377
"6106 Sec. 8 Change in terms",1,0.000317965023847377
"6117 HUD LL violations/harassment",1,0.000317965023847377
"6300 Private LL/T Term Notice N/P Rent",1,0.000317965023847377
"6303 Pvt LL/T Term Notice Other",1,0.000317965023847377
"6304 Pvt LL/T Illegal Lockout",1,0.000317965023847377
"6311 Pvt LL/T UD Answer Breach",1,0.000317965023847377
"6400 Public Housing Term Notice N/P Rent",1,0.000317965023847377
"6680 Discrim Marital status",1,0.000317965023847377
"6720 FC Term notice Post FC new tenancy",1,0.000317965023847377
"6760 Pre FC Tenant in possession",1,0.000317965023847377
"6780 FC Violation of occupants rights/harassment",1,0.000317965023847377
"6930 Cat stuck in tree",1,0.000317965023847377
"6940 Homeless not in shelter",1,0.000317965023847377
